2024-12-09 20:01:28:402:    2024-12-09 20:01:28:401:    测试结束
2024-12-09 20:01:30:092:    case:==========================供低电模式（2.2v），测试快速上下电==========================
2024-12-09 20:01:30:166:    2024-12-09 20:01:30:121:    voltage: 220058 46 0D 00 00 55 F0 00 04 00 98 08 6C
2024-12-09 20:01:30:167:    2024-12-09 20:01:30:121:    msleep: 200
2024-12-09 20:01:30:336:    2024-12-09 20:01:30:322:    开始循环50次
2024-12-09 20:01:30:337:    2024-12-09 20:01:30:322:    循环1元素：断电
2024-12-09 20:01:30:338:    2024-12-09 20:01:30:322:    循环1元素：延时50
2024-12-09 20:01:30:338:    2024-12-09 20:01:30:322:    msleep: 50
2024-12-09 20:01:30:373:    2024-12-09 20:01:30:372:    循环1元素：上电
2024-12-09 20:01:30:373:    2024-12-09 20:01:30:372:    循环1元素：延时50
2024-12-09 20:01:30:373:    2024-12-09 20:01:30:372:    msleep: 50
2024-12-09 20:01:30:423:    2024-12-09 20:01:30:423:    循环2元素：断电
2024-12-09 20:01:30:423:    2024-12-09 20:01:30:423:    循环2元素：延时50
2024-12-09 20:01:30:423:    2024-12-09 20:01:30:423:    msleep: 50
2024-12-09 20:01:30:473:    2024-12-09 20:01:30:473:    循环2元素：上电
2024-12-09 20:01:30:474:    2024-12-09 20:01:30:473:    循环2元素：延时50
2024-12-09 20:01:30:474:    2024-12-09 20:01:30:473:    msleep: 50
2024-12-09 20:01:30:524:    2024-12-09 20:01:30:523:    循环3元素：断电
2024-12-09 20:01:30:524:    2024-12-09 20:01:30:523:    循环3元素：延时50
2024-12-09 20:01:30:524:    2024-12-09 20:01:30:523:    msleep: 50
2024-12-09 20:01:30:574:    2024-12-09 20:01:30:573:    循环3元素：上电
2024-12-09 20:01:30:574:    2024-12-09 20:01:30:573:    循环3元素：延时50
2024-12-09 20:01:30:574:    2024-12-09 20:01:30:573:    msleep: 50
2024-12-09 20:01:30:624:    2024-12-09 20:01:30:624:    循环4元素：断电
2024-12-09 20:01:30:624:    2024-12-09 20:01:30:624:    循环4元素：延时50
2024-12-09 20:01:30:624:    2024-12-09 20:01:30:624:    msleep: 50
2024-12-09 20:01:30:674:    2024-12-09 20:01:30:674:    循环4元素：上电
2024-12-09 20:01:30:675:    2024-12-09 20:01:30:674:    循环4元素：延时50
2024-12-09 20:01:30:675:    2024-12-09 20:01:30:674:    msleep: 50
2024-12-09 20:01:30:725:    2024-12-09 20:01:30:724:    循环5元素：断电
2024-12-09 20:01:30:725:    2024-12-09 20:01:30:724:    循环5元素：延时50
2024-12-09 20:01:30:725:    2024-12-09 20:01:30:724:    msleep: 50
2024-12-09 20:01:30:775:    2024-12-09 20:01:30:774:    循环5元素：上电
2024-12-09 20:01:30:775:    2024-12-09 20:01:30:774:    循环5元素：延时50
2024-12-09 20:01:30:775:    2024-12-09 20:01:30:774:    msleep: 50
2024-12-09 20:01:30:825:    2024-12-09 20:01:30:825:    循环6元素：断电
2024-12-09 20:01:30:825:    2024-12-09 20:01:30:825:    循环6元素：延时50
2024-12-09 20:01:30:825:    2024-12-09 20:01:30:825:    msleep: 50
2024-12-09 20:01:30:875:    2024-12-09 20:01:30:875:    循环6元素：上电
2024-12-09 20:01:30:876:    2024-12-09 20:01:30:875:    循环6元素：延时50
2024-12-09 20:01:30:876:    2024-12-09 20:01:30:875:    msleep: 50
2024-12-09 20:01:30:926:    2024-12-09 20:01:30:925:    循环7元素：断电
2024-12-09 20:01:30:926:    2024-12-09 20:01:30:925:    循环7元素：延时50
2024-12-09 20:01:30:926:    2024-12-09 20:01:30:925:    msleep: 50
2024-12-09 20:01:30:976:    2024-12-09 20:01:30:975:    循环7元素：上电
2024-12-09 20:01:30:976:    2024-12-09 20:01:30:975:    循环7元素：延时50
2024-12-09 20:01:30:976:    2024-12-09 20:01:30:975:    msleep: 50
2024-12-09 20:01:31:026:    2024-12-09 20:01:31:026:    循环8元素：断电
2024-12-09 20:01:31:026:    2024-12-09 20:01:31:026:    循环8元素：延时50
2024-12-09 20:01:31:026:    2024-12-09 20:01:31:026:    msleep: 50
2024-12-09 20:01:31:076:    2024-12-09 20:01:31:076:    循环8元素：上电
2024-12-09 20:01:31:077:    2024-12-09 20:01:31:076:    循环8元素：延时50
2024-12-09 20:01:31:077:    2024-12-09 20:01:31:076:    msleep: 50
2024-12-09 20:01:31:127:    2024-12-09 20:01:31:126:    循环9元素：断电
2024-12-09 20:01:31:127:    2024-12-09 20:01:31:126:    循环9元素：延时50
2024-12-09 20:01:31:127:    2024-12-09 20:01:31:126:    msleep: 50
2024-12-09 20:01:31:177:    2024-12-09 20:01:31:176:    循环9元素：上电
2024-12-09 20:01:31:177:    2024-12-09 20:01:31:176:    循环9元素：延时50
2024-12-09 20:01:31:177:    2024-12-09 20:01:31:176:    msleep: 50
2024-12-09 20:01:31:227:    2024-12-09 20:01:31:227:    循环10元素：断电
2024-12-09 20:01:31:228:    2024-12-09 20:01:31:227:    循环10元素：延时50
2024-12-09 20:01:31:228:    2024-12-09 20:01:31:227:    msleep: 50
2024-12-09 20:01:31:277:    2024-12-09 20:01:31:277:    循环10元素：上电
2024-12-09 20:01:31:278:    2024-12-09 20:01:31:277:    循环10元素：延时50
2024-12-09 20:01:31:278:    2024-12-09 20:01:31:277:    msleep: 50
2024-12-09 20:01:31:328:    2024-12-09 20:01:31:327:    循环11元素：断电
2024-12-09 20:01:31:328:    2024-12-09 20:01:31:327:    循环11元素：延时50
2024-12-09 20:01:31:328:    2024-12-09 20:01:31:327:    msleep: 50
2024-12-09 20:01:31:378:    2024-12-09 20:01:31:377:    循环11元素：上电
2024-12-09 20:01:31:378:    2024-12-09 20:01:31:378:    循环11元素：延时50
2024-12-09 20:01:31:378:    2024-12-09 20:01:31:378:    msleep: 50
2024-12-09 20:01:31:428:    2024-12-09 20:01:31:428:    循环12元素：断电
2024-12-09 20:01:31:429:    2024-12-09 20:01:31:428:    循环12元素：延时50
2024-12-09 20:01:31:429:    2024-12-09 20:01:31:428:    msleep: 50
2024-12-09 20:01:31:479:    2024-12-09 20:01:31:478:    循环12元素：上电
2024-12-09 20:01:31:479:    2024-12-09 20:01:31:478:    循环12元素：延时50
2024-12-09 20:01:31:479:    2024-12-09 20:01:31:478:    msleep: 50
2024-12-09 20:01:31:529:    2024-12-09 20:01:31:528:    循环13元素：断电
2024-12-09 20:01:31:529:    2024-12-09 20:01:31:528:    循环13元素：延时50
2024-12-09 20:01:31:529:    2024-12-09 20:01:31:528:    msleep: 50
2024-12-09 20:01:31:579:    2024-12-09 20:01:31:579:    循环13元素：上电
2024-12-09 20:01:31:579:    2024-12-09 20:01:31:579:    循环13元素：延时50
2024-12-09 20:01:31:579:    2024-12-09 20:01:31:579:    msleep: 50
2024-12-09 20:01:31:629:    2024-12-09 20:01:31:629:    循环14元素：断电
2024-12-09 20:01:31:630:    2024-12-09 20:01:31:629:    循环14元素：延时50
2024-12-09 20:01:31:630:    2024-12-09 20:01:31:629:    msleep: 50
2024-12-09 20:01:31:680:    2024-12-09 20:01:31:679:    循环14元素：上电
2024-12-09 20:01:31:680:    2024-12-09 20:01:31:679:    循环14元素：延时50
2024-12-09 20:01:31:680:    2024-12-09 20:01:31:679:    msleep: 50
2024-12-09 20:01:31:730:    2024-12-09 20:01:31:729:    循环15元素：断电
2024-12-09 20:01:31:730:    2024-12-09 20:01:31:730:    循环15元素：延时50
2024-12-09 20:01:31:730:    2024-12-09 20:01:31:730:    msleep: 50
2024-12-09 20:01:31:780:    2024-12-09 20:01:31:780:    循环15元素：上电
2024-12-09 20:01:31:781:    2024-12-09 20:01:31:780:    循环15元素：延时50
2024-12-09 20:01:31:781:    2024-12-09 20:01:31:780:    msleep: 50
2024-12-09 20:01:31:831:    2024-12-09 20:01:31:830:    循环16元素：断电
2024-12-09 20:01:31:831:    2024-12-09 20:01:31:830:    循环16元素：延时50
2024-12-09 20:01:31:831:    2024-12-09 20:01:31:830:    msleep: 50
2024-12-09 20:01:31:881:    2024-12-09 20:01:31:880:    循环16元素：上电
2024-12-09 20:01:31:881:    2024-12-09 20:01:31:880:    循环16元素：延时50
2024-12-09 20:01:31:881:    2024-12-09 20:01:31:880:    msleep: 50
2024-12-09 20:01:31:931:    2024-12-09 20:01:31:931:    循环17元素：断电
2024-12-09 20:01:31:931:    2024-12-09 20:01:31:931:    循环17元素：延时50
2024-12-09 20:01:31:932:    2024-12-09 20:01:31:931:    msleep: 50
2024-12-09 20:01:31:981:    2024-12-09 20:01:31:981:    循环17元素：上电
2024-12-09 20:01:31:982:    2024-12-09 20:01:31:981:    循环17元素：延时50
2024-12-09 20:01:31:982:    2024-12-09 20:01:31:981:    msleep: 50
2024-12-09 20:01:32:032:    2024-12-09 20:01:32:031:    循环18元素：断电
2024-12-09 20:01:32:032:    2024-12-09 20:01:32:031:    循环18元素：延时50
2024-12-09 20:01:32:032:    2024-12-09 20:01:32:031:    msleep: 50
2024-12-09 20:01:32:082:    2024-12-09 20:01:32:081:    循环18元素：上电
2024-12-09 20:01:32:082:    2024-12-09 20:01:32:082:    循环18元素：延时50
2024-12-09 20:01:32:082:    2024-12-09 20:01:32:082:    msleep: 50
2024-12-09 20:01:32:132:    2024-12-09 20:01:32:132:    循环19元素：断电
2024-12-09 20:01:32:133:    2024-12-09 20:01:32:132:    循环19元素：延时50
2024-12-09 20:01:32:133:    2024-12-09 20:01:32:132:    msleep: 50
2024-12-09 20:01:32:183:    2024-12-09 20:01:32:182:    循环19元素：上电
2024-12-09 20:01:32:183:    2024-12-09 20:01:32:182:    循环19元素：延时50
2024-12-09 20:01:32:183:    2024-12-09 20:01:32:182:    msleep: 50
2024-12-09 20:01:32:233:    2024-12-09 20:01:32:232:    循环20元素：断电
2024-12-09 20:01:32:233:    2024-12-09 20:01:32:232:    循环20元素：延时50
2024-12-09 20:01:32:233:    2024-12-09 20:01:32:232:    msleep: 50
2024-12-09 20:01:32:283:    2024-12-09 20:01:32:283:    循环20元素：上电
2024-12-09 20:01:32:283:    2024-12-09 20:01:32:283:    循环20元素：延时50
2024-12-09 20:01:32:283:    2024-12-09 20:01:32:283:    msleep: 50
2024-12-09 20:01:32:333:    2024-12-09 20:01:32:333:    循环21元素：断电
