2024-12-09 20:01:47:328:    case:==========================供低电模式（2.2v），蓝牙模式，快速上下电==========================
2024-12-09 20:01:47:411:    2024-12-09 20:01:47:409:    voltage: 220058 46 0D 00 00 55 F0 00 04 00 98 08 6C
2024-12-09 20:01:53:510:    2024-12-09 20:01:53:509:    多线程开始扫描
2024-12-09 20:01:53:510:    2024-12-09 20:01:53:509:    2024-12-09 20:01:53:509:    扫描时间1----------------s
2024-12-09 20:01:53.514------------scan_end-----------------
2024-12-09 20:01:53:514:    已扫描到#5
2024-12-09 20:01:53:910:    2024-12-09 20:01:53:910:    2024-12-09 20:01:53:910扫描时间2----------------e
2024-12-09 20:01:53:910:    开始连接
2024-12-09 20:01:53:994:    已连接#84
2024-12-09 20:01:54:410:    开始配对
2024-12-09 20:01:56:671:    已配对#761
2024-12-09 20:01:57:312:    2024-12-09 20:01:57:311:    开始循环50次
2024-12-09 20:01:57:312:    2024-12-09 20:01:57:311:    循环1元素：断电
2024-12-09 20:01:57:312:    2024-12-09 20:01:57:311:    循环1元素：延时50
2024-12-09 20:01:57:312:    2024-12-09 20:01:57:311:    msleep: 50
2024-12-09 20:01:57:362:    2024-12-09 20:01:57:361:    循环1元素：上电
2024-12-09 20:01:57:362:    2024-12-09 20:01:57:361:    循环1元素：延时50
2024-12-09 20:01:57:362:    2024-12-09 20:01:57:361:    msleep: 50
2024-12-09 20:01:57:412:    2024-12-09 20:01:57:411:    循环2元素：断电
2024-12-09 20:01:57:413:    2024-12-09 20:01:57:412:    循环2元素：延时50
2024-12-09 20:01:57:413:    2024-12-09 20:01:57:412:    msleep: 50
2024-12-09 20:01:57:463:    2024-12-09 20:01:57:462:    循环2元素：上电
2024-12-09 20:01:57:463:    2024-12-09 20:01:57:462:    循环2元素：延时50
2024-12-09 20:01:57:463:    2024-12-09 20:01:57:462:    msleep: 50
2024-12-09 20:01:57:513:    2024-12-09 20:01:57:512:    循环3元素：断电
2024-12-09 20:01:57:513:    2024-12-09 20:01:57:512:    循环3元素：延时50
2024-12-09 20:01:57:513:    2024-12-09 20:01:57:512:    msleep: 50
2024-12-09 20:01:57:563:    2024-12-09 20:01:57:562:    循环3元素：上电
2024-12-09 20:01:57:564:    2024-12-09 20:01:57:562:    循环3元素：延时50
2024-12-09 20:01:57:564:    2024-12-09 20:01:57:562:    msleep: 50
2024-12-09 20:01:57:613:    2024-12-09 20:01:57:613:    循环4元素：断电
2024-12-09 20:01:57:614:    2024-12-09 20:01:57:613:    循环4元素：延时50
2024-12-09 20:01:57:614:    2024-12-09 20:01:57:613:    msleep: 50
2024-12-09 20:01:57:664:    2024-12-09 20:01:57:663:    循环4元素：上电
2024-12-09 20:01:57:664:    2024-12-09 20:01:57:663:    循环4元素：延时50
2024-12-09 20:01:57:664:    2024-12-09 20:01:57:663:    msleep: 50
2024-12-09 20:01:57:714:    2024-12-09 20:01:57:713:    循环5元素：断电
2024-12-09 20:01:57:714:    2024-12-09 20:01:57:713:    循环5元素：延时50
2024-12-09 20:01:57:714:    2024-12-09 20:01:57:713:    msleep: 50
2024-12-09 20:01:57:764:    2024-12-09 20:01:57:763:    循环5元素：上电
2024-12-09 20:01:57:765:    2024-12-09 20:01:57:764:    循环5元素：延时50
2024-12-09 20:01:57:765:    2024-12-09 20:01:57:764:    msleep: 50
2024-12-09 20:01:57:802:    已断开
2024-12-09 20:01:57:814:    2024-12-09 20:01:57:814:    循环6元素：断电
2024-12-09 20:01:57:815:    2024-12-09 20:01:57:814:    循环6元素：延时50
2024-12-09 20:01:57:815:    2024-12-09 20:01:57:814:    msleep: 50
2024-12-09 20:01:57:865:    2024-12-09 20:01:57:864:    循环6元素：上电
2024-12-09 20:01:57:865:    2024-12-09 20:01:57:864:    循环6元素：延时50
2024-12-09 20:01:57:865:    2024-12-09 20:01:57:864:    msleep: 50
2024-12-09 20:01:57:915:    2024-12-09 20:01:57:914:    循环7元素：断电
2024-12-09 20:01:57:915:    2024-12-09 20:01:57:914:    循环7元素：延时50
2024-12-09 20:01:57:915:    2024-12-09 20:01:57:914:    msleep: 50
2024-12-09 20:01:57:965:    2024-12-09 20:01:57:965:    循环7元素：上电
2024-12-09 20:01:57:966:    2024-12-09 20:01:57:965:    循环7元素：延时50
2024-12-09 20:01:57:966:    2024-12-09 20:01:57:965:    msleep: 50
2024-12-09 20:01:58:016:    2024-12-09 20:01:58:015:    循环8元素：断电
2024-12-09 20:01:58:016:    2024-12-09 20:01:58:015:    循环8元素：延时50
2024-12-09 20:01:58:016:    2024-12-09 20:01:58:015:    msleep: 50
2024-12-09 20:01:58:066:    2024-12-09 20:01:58:065:    循环8元素：上电
2024-12-09 20:01:58:066:    2024-12-09 20:01:58:065:    循环8元素：延时50
2024-12-09 20:01:58:066:    2024-12-09 20:01:58:065:    msleep: 50
