2024-12-09 20:01:38:681:    case:==========================供高电模式（3.6v），快速上下电==========================
2024-12-09 20:01:38:764:    2024-12-09 20:01:38:762:    voltage: 360058 46 0D 00 00 55 F0 00 04 00 10 0E EE
2024-12-09 20:01:38:764:    2024-12-09 20:01:38:762:    msleep: 200
2024-12-09 20:01:38:967:    2024-12-09 20:01:38:962:    开始循环50次
2024-12-09 20:01:38:967:    2024-12-09 20:01:38:962:    循环1元素：断电
2024-12-09 20:01:38:968:    2024-12-09 20:01:38:962:    循环1元素：延时50
2024-12-09 20:01:38:968:    2024-12-09 20:01:38:962:    msleep: 50
2024-12-09 20:01:39:015:    2024-12-09 20:01:39:013:    循环1元素：上电
2024-12-09 20:01:39:015:    2024-12-09 20:01:39:014:    循环1元素：延时50
2024-12-09 20:01:39:015:    2024-12-09 20:01:39:014:    msleep: 50
2024-12-09 20:01:39:065:    2024-12-09 20:01:39:064:    循环2元素：断电
2024-12-09 20:01:39:065:    2024-12-09 20:01:39:064:    循环2元素：延时50
2024-12-09 20:01:39:065:    2024-12-09 20:01:39:064:    msleep: 50
2024-12-09 20:01:39:116:    2024-12-09 20:01:39:115:    循环2元素：上电
2024-12-09 20:01:39:116:    2024-12-09 20:01:39:115:    循环2元素：延时50
2024-12-09 20:01:39:116:    2024-12-09 20:01:39:115:    msleep: 50
2024-12-09 20:01:39:166:    2024-12-09 20:01:39:165:    循环3元素：断电
2024-12-09 20:01:39:166:    2024-12-09 20:01:39:166:    循环3元素：延时50
2024-12-09 20:01:39:166:    2024-12-09 20:01:39:166:    msleep: 50
2024-12-09 20:01:39:216:    2024-12-09 20:01:39:216:    循环3元素：上电
2024-12-09 20:01:39:217:    2024-12-09 20:01:39:216:    循环3元素：延时50
2024-12-09 20:01:39:217:    2024-12-09 20:01:39:216:    msleep: 50
2024-12-09 20:01:39:267:    2024-12-09 20:01:39:266:    循环4元素：断电
2024-12-09 20:01:39:267:    2024-12-09 20:01:39:266:    循环4元素：延时50
2024-12-09 20:01:39:267:    2024-12-09 20:01:39:266:    msleep: 50
2024-12-09 20:01:39:317:    2024-12-09 20:01:39:316:    循环4元素：上电
2024-12-09 20:01:39:317:    2024-12-09 20:01:39:316:    循环4元素：延时50
2024-12-09 20:01:39:317:    2024-12-09 20:01:39:317:    msleep: 50
2024-12-09 20:01:39:367:    2024-12-09 20:01:39:367:    循环5元素：断电
2024-12-09 20:01:39:368:    2024-12-09 20:01:39:367:    循环5元素：延时50
2024-12-09 20:01:39:368:    2024-12-09 20:01:39:367:    msleep: 50
2024-12-09 20:01:39:418:    2024-12-09 20:01:39:417:    循环5元素：上电
2024-12-09 20:01:39:418:    2024-12-09 20:01:39:417:    循环5元素：延时50
2024-12-09 20:01:39:418:    2024-12-09 20:01:39:417:    msleep: 50
2024-12-09 20:01:39:468:    2024-12-09 20:01:39:467:    循环6元素：断电
2024-12-09 20:01:39:468:    2024-12-09 20:01:39:467:    循环6元素：延时50
2024-12-09 20:01:39:468:    2024-12-09 20:01:39:467:    msleep: 50
2024-12-09 20:01:39:518:    2024-12-09 20:01:39:518:    循环6元素：上电
2024-12-09 20:01:39:519:    2024-12-09 20:01:39:518:    循环6元素：延时50
2024-12-09 20:01:39:519:    2024-12-09 20:01:39:518:    msleep: 50
2024-12-09 20:01:39:569:    2024-12-09 20:01:39:568:    循环7元素：断电
2024-12-09 20:01:39:569:    2024-12-09 20:01:39:568:    循环7元素：延时50
2024-12-09 20:01:39:569:    2024-12-09 20:01:39:568:    msleep: 50
2024-12-09 20:01:39:619:    2024-12-09 20:01:39:618:    循环7元素：上电
2024-12-09 20:01:39:619:    2024-12-09 20:01:39:618:    循环7元素：延时50
2024-12-09 20:01:39:619:    2024-12-09 20:01:39:618:    msleep: 50
2024-12-09 20:01:39:669:    2024-12-09 20:01:39:669:    循环8元素：断电
