2024-12-09 20:02:05:674:    case:==========================供高电模式（3.6v），蓝牙模式，快速上下电==========================
2024-12-09 20:02:05:760:    2024-12-09 20:02:05:758:    voltage: 360058 46 0D 00 00 55 F0 00 04 00 10 0E EE
2024-12-09 20:02:11:859:    2024-12-09 20:02:11:859:    多线程开始扫描
2024-12-09 20:02:11:859:    2024-12-09 20:02:11:859:    2024-12-09 20:02:11:859:    扫描时间1----------------s
2024-12-09 20:02:11.943------------scan_end-----------------
2024-12-09 20:02:11:943:    已扫描到#84
2024-12-09 20:02:12:259:    2024-12-09 20:02:12:259:    2024-12-09 20:02:12:259扫描时间2----------------e
2024-12-09 20:02:12:259:    开始连接
2024-12-09 20:02:12:349:    已连接#90
2024-12-09 20:02:12:759:    开始配对
2024-12-09 20:02:15:011:    已配对#752
2024-12-09 20:02:15:661:    2024-12-09 20:02:15:660:    开始循环50次
2024-12-09 20:02:15:661:    2024-12-09 20:02:15:660:    循环1元素：断电
2024-12-09 20:02:15:661:    2024-12-09 20:02:15:660:    循环1元素：延时50
2024-12-09 20:02:15:661:    2024-12-09 20:02:15:660:    msleep: 50
2024-12-09 20:02:15:711:    2024-12-09 20:02:15:710:    循环1元素：上电
2024-12-09 20:02:15:711:    2024-12-09 20:02:15:710:    循环1元素：延时50
2024-12-09 20:02:15:711:    2024-12-09 20:02:15:710:    msleep: 50
2024-12-09 20:02:15:761:    2024-12-09 20:02:15:760:    循环2元素：断电
2024-12-09 20:02:15:762:    2024-12-09 20:02:15:761:    循环2元素：延时50
2024-12-09 20:02:15:762:    2024-12-09 20:02:15:761:    msleep: 50
2024-12-09 20:02:15:812:    2024-12-09 20:02:15:811:    循环2元素：上电
2024-12-09 20:02:15:812:    2024-12-09 20:02:15:811:    循环2元素：延时50
2024-12-09 20:02:15:812:    2024-12-09 20:02:15:811:    msleep: 50
2024-12-09 20:02:15:862:    2024-12-09 20:02:15:861:    循环3元素：断电
2024-12-09 20:02:15:862:    2024-12-09 20:02:15:861:    循环3元素：延时50
2024-12-09 20:02:15:862:    2024-12-09 20:02:15:861:    msleep: 50
2024-12-09 20:02:15:912:    2024-12-09 20:02:15:911:    循环3元素：上电
2024-12-09 20:02:15:913:    2024-12-09 20:02:15:911:    循环3元素：延时50
2024-12-09 20:02:15:913:    2024-12-09 20:02:15:911:    msleep: 50
2024-12-09 20:02:15:962:    2024-12-09 20:02:15:962:    循环4元素：断电
2024-12-09 20:02:15:963:    2024-12-09 20:02:15:962:    循环4元素：延时50
2024-12-09 20:02:15:963:    2024-12-09 20:02:15:962:    msleep: 50
2024-12-09 20:02:16:013:    2024-12-09 20:02:16:012:    循环4元素：上电
2024-12-09 20:02:16:013:    2024-12-09 20:02:16:012:    循环4元素：延时50
2024-12-09 20:02:16:013:    2024-12-09 20:02:16:012:    msleep: 50
2024-12-09 20:02:16:063:    2024-12-09 20:02:16:062:    循环5元素：断电
2024-12-09 20:02:16:063:    2024-12-09 20:02:16:062:    循环5元素：延时50
2024-12-09 20:02:16:063:    2024-12-09 20:02:16:062:    msleep: 50
2024-12-09 20:02:16:113:    2024-12-09 20:02:16:113:    循环5元素：上电
2024-12-09 20:02:16:114:    2024-12-09 20:02:16:113:    循环5元素：延时50
2024-12-09 20:02:16:114:    2024-12-09 20:02:16:113:    msleep: 50
2024-12-09 20:02:16:164:    2024-12-09 20:02:16:163:    循环6元素：断电
2024-12-09 20:02:16:164:    2024-12-09 20:02:16:163:    循环6元素：延时50
2024-12-09 20:02:16:164:    2024-12-09 20:02:16:163:    msleep: 50
2024-12-09 20:02:16:191:    已断开
2024-12-09 20:02:16:214:    2024-12-09 20:02:16:213:    循环6元素：上电
2024-12-09 20:02:16:214:    2024-12-09 20:02:16:213:    循环6元素：延时50
2024-12-09 20:02:16:214:    2024-12-09 20:02:16:213:    msleep: 50
2024-12-09 20:02:16:264:    2024-12-09 20:02:16:263:    循环7元素：断电
2024-12-09 20:02:16:265:    2024-12-09 20:02:16:264:    循环7元素：延时50
2024-12-09 20:02:16:265:    2024-12-09 20:02:16:264:    msleep: 50
2024-12-09 20:02:16:314:    2024-12-09 20:02:16:314:    循环7元素：上电
2024-12-09 20:02:16:315:    2024-12-09 20:02:16:314:    循环7元素：延时50
2024-12-09 20:02:16:315:    2024-12-09 20:02:16:314:    msleep: 50
2024-12-09 20:02:16:365:    2024-12-09 20:02:16:364:    循环8元素：断电
2024-12-09 20:02:16:365:    2024-12-09 20:02:16:364:    循环8元素：延时50
2024-12-09 20:02:16:365:    2024-12-09 20:02:16:364:    msleep: 50
2024-12-09 20:02:16:415:    2024-12-09 20:02:16:414:    循环8元素：上电
2024-12-09 20:02:16:415:    2024-12-09 20:02:16:415:    循环8元素：延时50
2024-12-09 20:02:16:415:    2024-12-09 20:02:16:415:    msleep: 50
2024-12-09 20:02:16:465:    2024-12-09 20:02:16:465:    循环9元素：断电
2024-12-09 20:02:16:466:    2024-12-09 20:02:16:465:    循环9元素：延时50
2024-12-09 20:02:16:466:    2024-12-09 20:02:16:465:    msleep: 50
2024-12-09 20:02:16:516:    2024-12-09 20:02:16:515:    循环9元素：上电
2024-12-09 20:02:16:516:    2024-12-09 20:02:16:515:    循环9元素：延时50
2024-12-09 20:02:16:516:    2024-12-09 20:02:16:515:    msleep: 50
2024-12-09 20:02:16:566:    2024-12-09 20:02:16:565:    循环10元素：断电
2024-12-09 20:02:16:566:    2024-12-09 20:02:16:565:    循环10元素：延时50
2024-12-09 20:02:16:566:    2024-12-09 20:02:16:566:    msleep: 50
2024-12-09 20:02:16:616:    2024-12-09 20:02:16:616:    循环10元素：上电
2024-12-09 20:02:16:617:    2024-12-09 20:02:16:616:    循环10元素：延时50
2024-12-09 20:02:16:617:    2024-12-09 20:02:16:616:    msleep: 50
2024-12-09 20:02:16:667:    2024-12-09 20:02:16:666:    循环11元素：断电
2024-12-09 20:02:16:667:    2024-12-09 20:02:16:666:    循环11元素：延时50
2024-12-09 20:02:16:667:    2024-12-09 20:02:16:666:    msleep: 50
2024-12-09 20:02:16:717:    2024-12-09 20:02:16:716:    循环11元素：上电
2024-12-09 20:02:16:717:    2024-12-09 20:02:16:717:    循环11元素：延时50
2024-12-09 20:02:16:717:    2024-12-09 20:02:16:717:    msleep: 50
2024-12-09 20:02:16:767:    2024-12-09 20:02:16:767:    循环12元素：断电
2024-12-09 20:02:16:768:    2024-12-09 20:02:16:767:    循环12元素：延时50
2024-12-09 20:02:16:768:    2024-12-09 20:02:16:767:    msleep: 50
2024-12-09 20:02:16:818:    2024-12-09 20:02:16:817:    循环12元素：上电
2024-12-09 20:02:16:818:    2024-12-09 20:02:16:817:    循环12元素：延时50
2024-12-09 20:02:16:818:    2024-12-09 20:02:16:817:    msleep: 50
2024-12-09 20:02:16:868:    2024-12-09 20:02:16:867:    循环13元素：断电
2024-12-09 20:02:16:868:    2024-12-09 20:02:16:867:    循环13元素：延时50
2024-12-09 20:02:16:868:    2024-12-09 20:02:16:868:    msleep: 50
2024-12-09 20:02:16:918:    2024-12-09 20:02:16:918:    循环13元素：上电
2024-12-09 20:02:16:919:    2024-12-09 20:02:16:918:    循环13元素：延时50
2024-12-09 20:02:16:919:    2024-12-09 20:02:16:918:    msleep: 50
2024-12-09 20:02:16:969:    2024-12-09 20:02:16:968:    循环14元素：断电
2024-12-09 20:02:16:969:    2024-12-09 20:02:16:968:    循环14元素：延时50
2024-12-09 20:02:16:969:    2024-12-09 20:02:16:968:    msleep: 50
2024-12-09 20:02:17:019:    2024-12-09 20:02:17:018:    循环14元素：上电
2024-12-09 20:02:17:019:    2024-12-09 20:02:17:018:    循环14元素：延时50
2024-12-09 20:02:17:019:    2024-12-09 20:02:17:019:    msleep: 50
2024-12-09 20:02:17:069:    2024-12-09 20:02:17:069:    循环15元素：断电
2024-12-09 20:02:17:070:    2024-12-09 20:02:17:069:    循环15元素：延时50
2024-12-09 20:02:17:070:    2024-12-09 20:02:17:069:    msleep: 50
2024-12-09 20:02:17:120:    2024-12-09 20:02:17:119:    循环15元素：上电
2024-12-09 20:02:17:120:    2024-12-09 20:02:17:119:    循环15元素：延时50
2024-12-09 20:02:17:120:    2024-12-09 20:02:17:119:    msleep: 50
2024-12-09 20:02:17:170:    2024-12-09 20:02:17:169:    循环16元素：断电
2024-12-09 20:02:17:170:    2024-12-09 20:02:17:169:    循环16元素：延时50
2024-12-09 20:02:17:170:    2024-12-09 20:02:17:169:    msleep: 50
2024-12-09 20:02:17:220:    2024-12-09 20:02:17:220:    循环16元素：上电
2024-12-09 20:02:17:221:    2024-12-09 20:02:17:220:    循环16元素：延时50
2024-12-09 20:02:17:221:    2024-12-09 20:02:17:220:    msleep: 50
2024-12-09 20:02:17:271:    2024-12-09 20:02:17:270:    循环17元素：断电
2024-12-09 20:02:17:271:    2024-12-09 20:02:17:270:    循环17元素：延时50
2024-12-09 20:02:17:271:    2024-12-09 20:02:17:270:    msleep: 50
2024-12-09 20:02:17:321:    2024-12-09 20:02:17:320:    循环17元素：上电
2024-12-09 20:02:17:321:    2024-12-09 20:02:17:320:    循环17元素：延时50
2024-12-09 20:02:17:321:    2024-12-09 20:02:17:320:    msleep: 50
2024-12-09 20:02:17:371:    2024-12-09 20:02:17:371:    循环18元素：断电
2024-12-09 20:02:17:372:    2024-12-09 20:02:17:371:    循环18元素：延时50
2024-12-09 20:02:17:372:    2024-12-09 20:02:17:371:    msleep: 50
2024-12-09 20:02:17:422:    2024-12-09 20:02:17:421:    循环18元素：上电
2024-12-09 20:02:17:422:    2024-12-09 20:02:17:421:    循环18元素：延时50
2024-12-09 20:02:17:422:    2024-12-09 20:02:17:421:    msleep: 50
2024-12-09 20:02:17:472:    2024-12-09 20:02:17:471:    循环19元素：断电
2024-12-09 20:02:17:472:    2024-12-09 20:02:17:471:    循环19元素：延时50
2024-12-09 20:02:17:472:    2024-12-09 20:02:17:471:    msleep: 50
2024-12-09 20:02:17:522:    2024-12-09 20:02:17:522:    循环19元素：上电
2024-12-09 20:02:17:523:    2024-12-09 20:02:17:522:    循环19元素：延时50
2024-12-09 20:02:17:523:    2024-12-09 20:02:17:522:    msleep: 50
2024-12-09 20:02:17:573:    2024-12-09 20:02:17:572:    循环20元素：断电
2024-12-09 20:02:17:573:    2024-12-09 20:02:17:572:    循环20元素：延时50
2024-12-09 20:02:17:573:    2024-12-09 20:02:17:572:    msleep: 50
2024-12-09 20:02:17:623:    2024-12-09 20:02:17:622:    循环20元素：上电
2024-12-09 20:02:17:623:    2024-12-09 20:02:17:622:    循环20元素：延时50
2024-12-09 20:02:17:623:    2024-12-09 20:02:17:622:    msleep: 50
2024-12-09 20:02:17:673:    2024-12-09 20:02:17:673:    循环21元素：断电
2024-12-09 20:02:17:674:    2024-12-09 20:02:17:673:    循环21元素：延时50
2024-12-09 20:02:17:674:    2024-12-09 20:02:17:673:    msleep: 50
2024-12-09 20:02:17:724:    2024-12-09 20:02:17:723:    循环21元素：上电
2024-12-09 20:02:17:724:    2024-12-09 20:02:17:723:    循环21元素：延时50
2024-12-09 20:02:17:724:    2024-12-09 20:02:17:723:    msleep: 50
2024-12-09 20:02:17:774:    2024-12-09 20:02:17:773:    循环22元素：断电
2024-12-09 20:02:17:774:    2024-12-09 20:02:17:773:    循环22元素：延时50
2024-12-09 20:02:17:774:    2024-12-09 20:02:17:773:    msleep: 50
2024-12-09 20:02:17:824:    2024-12-09 20:02:17:824:    循环22元素：上电
2024-12-09 20:02:17:825:    2024-12-09 20:02:17:824:    循环22元素：延时50
2024-12-09 20:02:17:825:    2024-12-09 20:02:17:824:    msleep: 50
2024-12-09 20:02:17:875:    2024-12-09 20:02:17:874:    循环23元素：断电
2024-12-09 20:02:17:875:    2024-12-09 20:02:17:874:    循环23元素：延时50
2024-12-09 20:02:17:875:    2024-12-09 20:02:17:874:    msleep: 50
2024-12-09 20:02:17:925:    2024-12-09 20:02:17:924:    循环23元素：上电
2024-12-09 20:02:17:925:    2024-12-09 20:02:17:924:    循环23元素：延时50
2024-12-09 20:02:17:925:    2024-12-09 20:02:17:924:    msleep: 50
2024-12-09 20:02:17:975:    2024-12-09 20:02:17:975:    循环24元素：断电
2024-12-09 20:02:17:976:    2024-12-09 20:02:17:975:    循环24元素：延时50
2024-12-09 20:02:17:976:    2024-12-09 20:02:17:975:    msleep: 50
2024-12-09 20:02:18:026:    2024-12-09 20:02:18:025:    循环24元素：上电
2024-12-09 20:02:18:026:    2024-12-09 20:02:18:025:    循环24元素：延时50
2024-12-09 20:02:18:026:    2024-12-09 20:02:18:025:    msleep: 50
2024-12-09 20:02:18:076:    2024-12-09 20:02:18:075:    循环25元素：断电
2024-12-09 20:02:18:076:    2024-12-09 20:02:18:075:    循环25元素：延时50
2024-12-09 20:02:18:076:    2024-12-09 20:02:18:075:    msleep: 50
2024-12-09 20:02:18:126:    2024-12-09 20:02:18:126:    循环25元素：上电
2024-12-09 20:02:18:127:    2024-12-09 20:02:18:126:    循环25元素：延时50
2024-12-09 20:02:18:127:    2024-12-09 20:02:18:126:    msleep: 50
2024-12-09 20:02:18:177:    2024-12-09 20:02:18:176:    循环26元素：断电
2024-12-09 20:02:18:177:    2024-12-09 20:02:18:176:    循环26元素：延时50
2024-12-09 20:02:18:177:    2024-12-09 20:02:18:176:    msleep: 50
2024-12-09 20:02:18:227:    2024-12-09 20:02:18:226:    循环26元素：上电
2024-12-09 20:02:18:227:    2024-12-09 20:02:18:226:    循环26元素：延时50
2024-12-09 20:02:18:227:    2024-12-09 20:02:18:226:    msleep: 50
2024-12-09 20:02:18:277:    2024-12-09 20:02:18:277:    循环27元素：断电
2024-12-09 20:02:18:278:    2024-12-09 20:02:18:277:    循环27元素：延时50
2024-12-09 20:02:18:278:    2024-12-09 20:02:18:277:    msleep: 50
2024-12-09 20:02:18:328:    2024-12-09 20:02:18:327:    循环27元素：上电
2024-12-09 20:02:18:328:    2024-12-09 20:02:18:327:    循环27元素：延时50
2024-12-09 20:02:18:328:    2024-12-09 20:02:18:327:    msleep: 50
2024-12-09 20:02:18:378:    2024-12-09 20:02:18:377:    循环28元素：断电
2024-12-09 20:02:18:378:    2024-12-09 20:02:18:377:    循环28元素：延时50
2024-12-09 20:02:18:378:    2024-12-09 20:02:18:377:    msleep: 50
2024-12-09 20:02:18:428:    2024-12-09 20:02:18:428:    循环28元素：上电
2024-12-09 20:02:18:429:    2024-12-09 20:02:18:428:    循环28元素：延时50
2024-12-09 20:02:18:429:    2024-12-09 20:02:18:428:    msleep: 50
2024-12-09 20:02:18:479:    2024-12-09 20:02:18:478:    循环29元素：断电
2024-12-09 20:02:18:479:    2024-12-09 20:02:18:478:    循环29元素：延时50
2024-12-09 20:02:18:479:    2024-12-09 20:02:18:478:    msleep: 50
2024-12-09 20:02:18:529:    2024-12-09 20:02:18:528:    循环29元素：上电
2024-12-09 20:02:18:529:    2024-12-09 20:02:18:528:    循环29元素：延时50
2024-12-09 20:02:18:529:    2024-12-09 20:02:18:528:    msleep: 50
2024-12-09 20:02:18:579:    2024-12-09 20:02:18:579:    循环30元素：断电
2024-12-09 20:02:18:580:    2024-12-09 20:02:18:579:    循环30元素：延时50
2024-12-09 20:02:18:580:    2024-12-09 20:02:18:579:    msleep: 50
2024-12-09 20:02:18:630:    2024-12-09 20:02:18:629:    循环30元素：上电
2024-12-09 20:02:18:630:    2024-12-09 20:02:18:629:    循环30元素：延时50
2024-12-09 20:02:18:630:    2024-12-09 20:02:18:629:    msleep: 50
2024-12-09 20:02:18:680:    2024-12-09 20:02:18:679:    循环31元素：断电
2024-12-09 20:02:18:680:    2024-12-09 20:02:18:679:    循环31元素：延时50
2024-12-09 20:02:18:680:    2024-12-09 20:02:18:679:    msleep: 50
2024-12-09 20:02:18:730:    2024-12-09 20:02:18:729:    循环31元素：上电
2024-12-09 20:02:18:731:    2024-12-09 20:02:18:730:    循环31元素：延时50
2024-12-09 20:02:18:731:    2024-12-09 20:02:18:730:    msleep: 50
2024-12-09 20:02:18:780:    2024-12-09 20:02:18:780:    循环32元素：断电
2024-12-09 20:02:18:781:    2024-12-09 20:02:18:780:    循环32元素：延时50
2024-12-09 20:02:18:781:    2024-12-09 20:02:18:780:    msleep: 50
2024-12-09 20:02:18:831:    2024-12-09 20:02:18:830:    循环32元素：上电
2024-12-09 20:02:18:831:    2024-12-09 20:02:18:830:    循环32元素：延时50
2024-12-09 20:02:18:831:    2024-12-09 20:02:18:830:    msleep: 50
2024-12-09 20:02:18:881:    2024-12-09 20:02:18:880:    循环33元素：断电
2024-12-09 20:02:18:882:    2024-12-09 20:02:18:881:    循环33元素：延时50
2024-12-09 20:02:18:882:    2024-12-09 20:02:18:881:    msleep: 50
2024-12-09 20:02:18:931:    2024-12-09 20:02:18:931:    循环33元素：上电
