2024-12-09 20:23:28:233:    case:==========================蓝牙模式下，快速按语音按键，测试是否正常==========================
2024-12-09 20:23:34:333:    2024-12-09 20:23:34:332:    多线程开始扫描
2024-12-09 20:23:34:333:    2024-12-09 20:23:34:332:    2024-12-09 20:23:34:332:    扫描时间1----------------s
2024-12-09 20:23:34.379------------scan_end-----------------
2024-12-09 20:23:34:379:    已扫描到#47
2024-12-09 20:23:34:732:    2024-12-09 20:23:34:732:    2024-12-09 20:23:34:732扫描时间2----------------e
2024-12-09 20:23:34:733:    开始连接
2024-12-09 20:23:34:767:    已连接#34
2024-12-09 20:23:35:233:    开始配对
2024-12-09 20:23:37:554:    已配对#821
2024-12-09 20:23:38:134:    2024-12-09 20:23:38:133:    msleep: 5000
2024-12-09 20:23:43:134:    2024-12-09 20:23:43:134:    msleep: 1000
2024-12-09 20:23:45:136:    2024-12-09 20:23:45:136:    开始循环20次
2024-12-09 20:23:45:136:    2024-12-09 20:23:45:136:    循环1元素：语音按键按下
2024-12-09 20:23:45:137:    2024-12-09 20:23:45:136:    循环1元素：延时100
2024-12-09 20:23:45:137:    2024-12-09 20:23:45:136:    msleep: 100
2024-12-09 20:23:45:237:    2024-12-09 20:23:45:236:    循环1元素：语音按键抬起
2024-12-09 20:23:45:237:    2024-12-09 20:23:45:236:    循环1元素：延时100
2024-12-09 20:23:45:237:    2024-12-09 20:23:45:236:    msleep: 100
2024-12-09 20:23:45:338:    2024-12-09 20:23:45:337:    循环2元素：语音按键按下
2024-12-09 20:23:45:338:    2024-12-09 20:23:45:337:    循环2元素：延时100
2024-12-09 20:23:45:338:    2024-12-09 20:23:45:337:    msleep: 100
2024-12-09 20:23:45:438:    2024-12-09 20:23:45:438:    循环2元素：语音按键抬起
2024-12-09 20:23:45:439:    2024-12-09 20:23:45:438:    循环2元素：延时100
2024-12-09 20:23:45:439:    2024-12-09 20:23:45:438:    msleep: 100
2024-12-09 20:23:45:539:    2024-12-09 20:23:45:538:    循环3元素：语音按键按下
2024-12-09 20:23:45:539:    2024-12-09 20:23:45:538:    循环3元素：延时100
2024-12-09 20:23:45:539:    2024-12-09 20:23:45:538:    msleep: 100
2024-12-09 20:23:45:639:    2024-12-09 20:23:45:638:    循环3元素：语音按键抬起
2024-12-09 20:23:45:639:    2024-12-09 20:23:45:638:    循环3元素：延时100
2024-12-09 20:23:45:639:    2024-12-09 20:23:45:638:    msleep: 100
2024-12-09 20:23:45:739:    2024-12-09 20:23:45:739:    循环4元素：语音按键按下
