2024-12-09 20:49:42:840:    2024-12-09 20:49:42:840:    测试结束
2024-12-09 20:49:44:143:    case:==========================红外模式快速通断测试==========================
2024-12-09 20:49:44:191:    2024-12-09 20:49:44:172:    voltage: 300058 46 0D 00 00 55 F0 00 04 00 B8 0B 49
2024-12-09 20:49:44:192:    2024-12-09 20:49:44:172:    开始循环10次
2024-12-09 20:49:44:192:    2024-12-09 20:49:44:172:    循环1元素：上电
2024-12-09 20:49:44:193:    2024-12-09 20:49:44:172:    循环1元素：延时50
2024-12-09 20:49:44:193:    2024-12-09 20:49:44:172:    msleep: 50
2024-12-09 20:49:44:239:    2024-12-09 20:49:44:222:    循环1元素：断电
2024-12-09 20:49:44:240:    2024-12-09 20:49:44:222:    循环1元素：延时50
2024-12-09 20:49:44:240:    2024-12-09 20:49:44:223:    msleep: 50
2024-12-09 20:49:44:297:    2024-12-09 20:49:44:273:    循环2元素：上电
2024-12-09 20:49:44:299:    2024-12-09 20:49:44:273:    循环2元素：延时50
2024-12-09 20:49:44:299:    2024-12-09 20:49:44:274:    msleep: 50
2024-12-09 20:49:44:349:    2024-12-09 20:49:44:324:    循环2元素：断电
2024-12-09 20:49:44:350:    2024-12-09 20:49:44:324:    循环2元素：延时50
2024-12-09 20:49:44:350:    2024-12-09 20:49:44:324:    msleep: 50
2024-12-09 20:49:44:396:    2024-12-09 20:49:44:375:    循环3元素：上电
2024-12-09 20:49:44:398:    2024-12-09 20:49:44:376:    循环3元素：延时50
2024-12-09 20:49:44:398:    2024-12-09 20:49:44:376:    msleep: 50
2024-12-09 20:49:44:429:    2024-12-09 20:49:44:426:    循环3元素：断电
2024-12-09 20:49:44:430:    2024-12-09 20:49:44:426:    循环3元素：延时50
2024-12-09 20:49:44:430:    2024-12-09 20:49:44:426:    msleep: 50
2024-12-09 20:49:44:477:    2024-12-09 20:49:44:477:    循环4元素：上电
2024-12-09 20:49:44:477:    2024-12-09 20:49:44:477:    循环4元素：延时50
2024-12-09 20:49:44:477:    2024-12-09 20:49:44:477:    msleep: 50
2024-12-09 20:49:44:527:    2024-12-09 20:49:44:527:    循环4元素：断电
2024-12-09 20:49:44:528:    2024-12-09 20:49:44:527:    循环4元素：延时50
2024-12-09 20:49:44:528:    2024-12-09 20:49:44:527:    msleep: 50
2024-12-09 20:49:44:578:    2024-12-09 20:49:44:577:    循环5元素：上电
2024-12-09 20:49:44:578:    2024-12-09 20:49:44:577:    循环5元素：延时50
2024-12-09 20:49:44:578:    2024-12-09 20:49:44:577:    msleep: 50
2024-12-09 20:49:44:628:    2024-12-09 20:49:44:627:    循环5元素：断电
2024-12-09 20:49:44:628:    2024-12-09 20:49:44:627:    循环5元素：延时50
2024-12-09 20:49:44:628:    2024-12-09 20:49:44:627:    msleep: 50
2024-12-09 20:49:44:678:    2024-12-09 20:49:44:678:    循环6元素：上电
2024-12-09 20:49:44:678:    2024-12-09 20:49:44:678:    循环6元素：延时50
2024-12-09 20:49:44:678:    2024-12-09 20:49:44:678:    msleep: 50
2024-12-09 20:49:44:728:    2024-12-09 20:49:44:728:    循环6元素：断电
2024-12-09 20:49:44:729:    2024-12-09 20:49:44:728:    循环6元素：延时50
2024-12-09 20:49:44:729:    2024-12-09 20:49:44:728:    msleep: 50
2024-12-09 20:49:44:779:    2024-12-09 20:49:44:778:    循环7元素：上电
2024-12-09 20:49:44:779:    2024-12-09 20:49:44:778:    循环7元素：延时50
2024-12-09 20:49:44:779:    2024-12-09 20:49:44:778:    msleep: 50
2024-12-09 20:49:44:829:    2024-12-09 20:49:44:828:    循环7元素：断电
2024-12-09 20:49:44:829:    2024-12-09 20:49:44:828:    循环7元素：延时50
2024-12-09 20:49:44:829:    2024-12-09 20:49:44:828:    msleep: 50
2024-12-09 20:49:44:879:    2024-12-09 20:49:44:879:    循环8元素：上电
2024-12-09 20:49:44:879:    2024-12-09 20:49:44:879:    循环8元素：延时50
2024-12-09 20:49:44:879:    2024-12-09 20:49:44:879:    msleep: 50
2024-12-09 20:49:44:929:    2024-12-09 20:49:44:929:    循环8元素：断电
2024-12-09 20:49:44:930:    2024-12-09 20:49:44:929:    循环8元素：延时50
2024-12-09 20:49:44:930:    2024-12-09 20:49:44:929:    msleep: 50
2024-12-09 20:49:44:980:    2024-12-09 20:49:44:979:    循环9元素：上电
2024-12-09 20:49:44:980:    2024-12-09 20:49:44:979:    循环9元素：延时50
2024-12-09 20:49:44:980:    2024-12-09 20:49:44:979:    msleep: 50
2024-12-09 20:49:45:030:    2024-12-09 20:49:45:029:    循环9元素：断电
2024-12-09 20:49:45:030:    2024-12-09 20:49:45:029:    循环9元素：延时50
2024-12-09 20:49:45:030:    2024-12-09 20:49:45:029:    msleep: 50
2024-12-09 20:49:45:080:    2024-12-09 20:49:45:080:    循环10元素：上电
2024-12-09 20:49:45:080:    2024-12-09 20:49:45:080:    循环10元素：延时50
2024-12-09 20:49:45:080:    2024-12-09 20:49:45:080:    msleep: 50
2024-12-09 20:49:45:130:    2024-12-09 20:49:45:130:    循环10元素：断电
2024-12-09 20:49:45:131:    2024-12-09 20:49:45:130:    循环10元素：延时50
2024-12-09 20:49:45:131:    2024-12-09 20:49:45:130:    msleep: 50
2024-12-09 20:49:45:181:    2024-12-09 20:49:45:180:    msleep: 2000
2024-12-09 20:49:48:231:    2024-12-09 20:49:48:231:    msleep: 1000
结果正常

-----------一行结束------------------
